Product,Seller,Price,Country
91x GREEN PUNISHER XTC 290MG | STELLAR QUALITY|,AndrewAva,$ 209.51,Anonymous
Nintendo 220MG XTC- 25 Pieces,AndrewAva,$ 62.85,Anonymous
Special Order 1200 GR SPEED 1000 XTC PILLS,Ducktales,"$ 4,267.02",Germany
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
10X Orange Tesla CP 250 MG (USA-USA),dargreen,$ 349.17,Australia
5 g pure MDMA 95 € - Champagne - High Quality,dargreen,$ 153.64,Australia
2500X PINK MY BRAND XTC PILLS (250MG MDMA),AndrewAva,"$ 1,815.74",Anonymous
 500x // PREMIUM XTC BLUE PUNISHER 280MG,AndrewAva,$ 628.54,Anonymous
84x GREEN PUNISHER XTC 290MG | STELLAR QUALITY|,AndrewAva,$ 132.68,Anonymous
500x XTC Ecstasy Lion Rose 250MG,AndrewAva,$ 586.62,Anonymous
4-MMC / Mephedron - 5g,amaguetesiegel,$ 122.15,Austria
100 xtc pills 220 mg,AndrewAva,$ 209.51,Anonymous
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 427.40,Germany
MDMA - 5g,amaguetesiegel,$ 122.15,Austria
25x 300MG XTC | Ekstase| Ecstasy MyBrand AAA+ Skulls HQ Pills | OptimusPrime,AndrewAva,$ 104.76,Anonymous
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
Ketamine HCL Crystal Powder,MrCortezz,$ 209.51,United States
Buy Speed Online ( Speed),MrCortezz,$ 558.70,United States
"Dextromethorphan (DXM) (Delsym, Delsym 12 Hour Cough Relief)",MrCortezz,$ 167.61,United States
"Bupropion ER (Wellbutrin, Wellbutrin SR, Wellbutrin XL, Zyban, Aplenzin, Fortivo XL)",MrCortezz,$ 160.62,United States
Buy Kadian Online,MrCortezz,$ 195.54,United States
Psilocybe atlantis (Magic Mushrooms),MrCortezz,$ 167.61,United States
Buy Nembutal Powder,MrCortezz,$ 160.62,United States
Buy Psilocybin Mushrooms,MrCortezz,$ 153.64,United States
Buy Butabarbital Sodium 50 mg Tablets,MrCortezz,$ 209.51,United States
Order Seconal Sodium Secobarbital Capsules online without prescription,MrCortezz,$ 237.44,United States
Buy MDMA Pills Online,MrCortezz,$ 209.51,United States
"GHB Pills (1000mg pills, 48 Pills Per Pack)",MrCortezz,$ 160.62,United States
Free EZ Test Kit (for quality testing),MrCortezz,$ 83.81,United States
Buy Amytal Sodium Pulvule online,MrCortezz,$ 160.62,United States
20 Grams Potassium Cyanide KCN 98% Pure,mohkruz,$ 349.17,Switzerland
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
Buy Butalbital,BateckJones,$ 209.51,United States
Buy Nembutal Powder,BateckJones,$ 419.02,United States
Buy Pentobarbital Sodium (Liquid) (Oral),BateckJones,$ 419.02,United States
100 Grs Methylmethaqualone (Methaqualone (Quaaludes),Apvpmonkeyking,"$ 1,466.57",Anonymous
10 pcs Tilidin 200/16mg ret. Tabletten (Aliud)  fast shipping from germany ,realgenerics,$ 38.84,Germany
1000g Tobacco virginia medium rolling tobacco,Apvpmonkeyking,$ 81.00,Anonymous
x20 Gardenal Phenobarbital 100mg Sanofi Aventis,Apvpmonkeyking,$ 111.73,Anonymous
5 Grams Methylmethaqualone (Methaqualone (Quaaludes) analogue),Apvpmonkeyking,$ 273.76,Anonymous
 Pentobarbital Sodium (Nembutal,younnawoman,$ 419.02,Australia
Euthasol Euthanasia Solution 250ML,MaxTerry,$ 419.02,United States
25 grams Nembutal Powder,MaxTerry,$ 419.02,United States
DIHYDROCODEINE 30mg BLISTERS(10pills/blister) x5,hibiscus,$ 698.37,United States
Hydrocodone 10 mg (100pills = $300) Pain Relief,philvon,$ 419.02,United Kingdom
WHITE HEROIN POWDER (98.5% PURE) x10g,hibiscus,$ 698.37,United States
MORPHINE 30mg (x30 pills),hibiscus,$ 628.54,United States
OXYCODONE 120mg BLISTERS x5,hibiscus,$ 768.20,United States
OXYCODONE 80mg BLISTERS(10 pills/blister) x5,hibiscus,$ 698.37,United States
10 mg pharma pressed percocets $3.5/pc,McBrown,$ 216.50,United States
Adderrall 30mg pharma grade,jailbreaker,$ 505.97,United Kingdom
5 Blisters Tilidin 200/16 aluid | Stada,wasaa89,$ 125.71,United States
5 Blister Tilidin 200/16 aluid | Stada,wasaa89,$ 125.71,United States
2 Blisters Tilidin 200/16 aluid | Stada,wasaa89,$ 55.87,United States
500 - Percocet 10/325,wasaa89,"$ 1,257.07",United States
100 - Percocet 10/325,wasaa89,$ 307.28,United States
50 - Percocet 10/325,wasaa89,$ 181.57,United States
20 - Percocet 10/325,wasaa89,$ 76.83,United States
10 - Percocet 10/325,wasaa89,$ 41.90,United States
100 Oxycodone M30 NON Fentanyl pills USA-WW,wasaa89,$ 432.98,United States
50 Oxycodone M30 NON Fentanyl pills USA-WW,wasaa89,$ 248.61,United States
20 Oxycodone M30 NON Fentanyl pills USA-WW,wasaa89,$ 104.76,United States
10 Oxycodone M30 NON Fentanyl pills USA-WW,wasaa89,$ 55.87,United States
"1000 X Brand Oxycontin 20mg, OC 20mg Original",wasaa89,"$ 10,615.20",United States
oxycodone powder,AndrewAva,$ 48.89,Anonymous
"500 X Brand Oxycontin 20mg, OC 20mg Original",wasaa89,"$ 5,866.29",United States
"250 X Brand Oxycontin 20mg, OC 20mg Original",wasaa89,"$ 3,212.49",United States
"100 X Brand Oxycontin 20mg, OC 20mg Original",wasaa89,"$ 1,396.74",United States
"50 X Brand Oxycontin 20mg, OC 20mg Original",wasaa89,$ 740.28,United States
"20 X Brand Oxycontin 20mg, OC 20mg Original",wasaa89,$ 321.25,United States
"10 X Brand Oxycontin 20mg, OC 20mg Original",wasaa89,$ 174.60,United States
US TO WW Xanax 1mg KSALOL 120 PILLS,wasaa89,$ 251.42,United States
US TO WW Xanax 1mg KSALOL 60 PILLS,wasaa89,$ 146.66,United States
US TO WW Xanax 1mg KSALOL 30 PILLS,wasaa89,$ 83.81,United States
5 Blisters Zolpidem 10mg - shipping within 24 hours,wasaa89,$ 139.67,United States
2mg Xanax Bars 120 Tabs,wasaa89,$ 293.32,United States
2mg Xanax Bars x 60 Tabs,wasaa89,$ 160.62,United States
2mg Xanax Bars 2 USD Each x 30 Tabs,wasaa89,$ 83.81,United States
RIVOTRIL 2MG CLONAZEPAM GENERIC 150 TABLETS,wasaa89,$ 356.16,United States
RIVOTRIL 2MG CLONAZEPAM GENERIC 120 TABLETS,wasaa89,$ 307.28,United States
RIVOTRIL 2MG CLONAZEPAM GENERIC 60 TABLETS,wasaa89,$ 181.57,United States
RIVOTRIL 2MG CLONAZEPAM GENERIC 30 TABLETS,wasaa89,$ 97.77,United States
500 XANAX BEST BARS ON DN...REAL ALP....STOP BUYING CHEAPEST JUNK BARS OF OTHERS,philvon,$ 416.22,Canada
XANAX 2MG 120 TABLETS,wasaa89,$ 391.08,United States
XANAX 2MG 60 TABLETS,wasaa89,$ 237.44,United States
XANAX 2MG 30 TABLETS,wasaa89,$ 132.68,United States
AMBIEN 10 MG ZOLPIDEM 120 TABLETS,wasaa89,$ 642.50,United States
AMBIEN 10 MG ZOLPIDEM 120 TABLETS,wasaa89,$ 642.50,United States
AMBIEN 10 MG ZOLPIDEM 60 TABLETS,wasaa89,$ 391.08,United States
250 XANAX BEST BARS ON DN...REAL ALP....STOP BUYING CHEAPEST JUNK BARS OF OTHERS,philvon,$ 276.55,Canada
100 XANAX BEST BARS ON DN....REAL ALP....STOP BUYING CHEAPEST JUNK BARS OF OTHERS,philvon,$ 167.61,Canada
50 XANAX BEST BARS ON DN...REAL ALP....STOP BUYING CHEAPEST JUNK BARS OF OTHERS,philvon,$ 110.34,Canada
1000 XANAX BEST BARS ON DN...REAL ALP....STOP BUYING CHEAPEST JUNK BARS OF OTHERS,philvon,$ 747.24,Canada
AMBIEN 10 MG ZOLPIDEM 30 TABLETS,wasaa89,$ 223.49,United States
Neomycin 500mg AMDIPHARM x 100 Tablets 100% Genuine UK PHARMA BEST QUALITY,philvon,$ 92.19,United Kingdom
Lorazepam Hemofarm 2.5mg 200 TABS,wasaa89,$ 254.20,United States
Xanax,philvon,$ 363.16,United States
Lorazepam Hemofarm 2.5mg 100 TABS,wasaa89,$ 139.67,United States
Lorazepam Hemofarm 2.5mg 50 TABS,wasaa89,$ 76.83,United States
